iter	Passed	Remaining
727	1397	2441
728	1398	2438
729	1400	2436
730	1401	2433
731	1403	2431
732	1404	2428
733	1406	2425
734	1408	2423
735	1409	2421
736	1411	2418
737	1412	2415
738	1415	2415
739	1417	2413
740	1420	2412
741	1421	2409
742	1422	2407
743	1425	2405
744	1426	2403
745	1429	2402
746	1431	2400
747	1432	2398
748	1435	2397
749	1437	2395
750	1439	2393
751	1440	2390
752	1442	2388
753	1445	2388
754	1447	2386
755	1448	2384
756	1450	2382
757	1453	2380
758	1454	2378
759	1456	2377
760	1459	2375
761	1460	2372
762	1461	2370
763	1463	2367
764	1464	2364
765	1466	2363
766	1468	2360
767	1470	2358
768	1471	2356
769	1474	2354
770	1477	2354
771	1479	2352
772	1480	2350
773	1482	2348
774	1485	2347
775	1487	2346
776	1490	2345
777	1491	2343
778	1493	2341
779	1496	2340
780	1498	2338
781	1499	2335
782	1501	2333
783	1503	2331
784	1505	2329
785	1506	2327
786	1509	2325
787	1510	2323
788	1512	2321
789	1514	2319
790	1515	2316
791	1517	2314
792	1519	2312
793	1520	2310
794	1523	2309
795	1525	2307
796	1528	2306
797	1530	2304
798	1531	2301
799	1534	2301
800	1536	2299
801	1538	2297
802	1539	2295
803	1542	2294
804	1544	2292
805	1546	2290
806	1547	2288
807	1549	2285
808	1551	2284
809	1553	2282
810	1555	2280
811	1556	2277
812	1558	2275
813	1559	2272
814	1562	2271
815	1564	2269
816	1565	2267
817	1567	2265
818	1569	2263
819	1571	2261
820	1573	2259
821	1575	2257
822	1576	2255
823	1579	2253
824	1580	2251
825	1582	2248
826	1583	2246
827	1586	2245
828	1588	2244
829	1590	2242
830	1593	2241
831	1595	2240
832	1598	2238
833	1599	2236
834	1602	2235
835	1603	2233
836	1605	2230
837	1607	2228
838	1609	2226
839	1611	2225
840	1613	2223
841	1615	2222
842	1617	2219
843	1619	2217
844	1621	2215
845	1623	2214
846	1625	2213
847	1628	2211
848	1630	2210
849	1631	2207
850	1634	2206
851	1637	2206
852	1640	2205
853	1642	2204
854	1645	2203
855	1648	2202
856	1651	2202
857	1652	2199
858	1654	2197
859	1656	2195
860	1657	2193
861	1659	2190
862	1660	2187
863	1662	2185
864	1664	2184
865	1666	2181
866	1668	2179
867	1670	2178
868	1671	2176
869	1673	2173
870	1675	2171
871	1677	2170
872	1679	2168
873	1681	2166
874	1684	2165
875	1686	2163
876	1688	2162
877	1690	2160
878	1693	2159
879	1695	2158
880	1697	2156
881	1700	2154
882	1701	2152
883	1703	2150
884	1705	2149
885	1707	2146
886	1708	2144
887	1710	2141
888	1712	2139
889	1713	2137
890	1715	2135
891	1716	2132
892	1719	2131
893	1721	2129
894	1724	2129
895	1726	2126
896	1727	2124
897	1730	2123
898	1732	2121
899	1734	2119
900	1736	2117
901	1738	2116
902	1740	2114
903	1742	2112
904	1745	2112
905	1748	2110
906	1749	2108
907	1752	2107
908	1755	2107
909	1757	2105
910	1759	2103
911	1762	2102
912	1764	2100
913	1766	2099
914	1768	2097
915	1770	2095
916	1772	2093
917	1773	2090
918	1776	2089
919	1778	2087
920	1780	2085
921	1782	2084
922	1785	2083
923	1786	2080
924	1788	2078
925	1790	2076
926	1792	2074
927	1793	2071
928	1795	2069
929	1796	2067
930	1799	2065
931	1801	2064
932	1803	2062
933	1806	2062
934	1809	2061
935	1811	2058
936	1813	2057
937	1815	2055
938	1817	2053
939	1818	2050
940	1820	2048
941	1821	2046
942	1823	2044
943	1826	2042
944	1827	2040
945	1830	2039
946	1832	2037
947	1834	2036
948	1836	2034
949	1838	2031
950	1839	2029
951	1841	2027
952	1843	2024
953	1844	2022
954	1846	2020
955	1847	2017
956	1849	2015
957	1851	2013
958	1853	2012
959	1855	2009
960	1857	2007
961	1859	2006
962	1861	2004
963	1862	2001
964	1864	2000
965	1866	1998
966	1868	1996
967	1871	1994
968	1873	1992
969	1874	1990
970	1876	1988
971	1877	1985
972	1879	1983
973	1881	1981
974	1882	1979
975	1884	1977
976	1887	1975
977	1889	1974
978	1892	1973
979	1893	1971
980	1896	1970
981	1898	1967
982	1899	1965
983	1901	1963
984	1903	1961
985	1904	1958
986	1906	1956
987	1909	1955
988	1911	1953
989	1914	1952
990	1917	1952
991	1919	1949
992	1921	1948
993	1924	1947
994	1926	1945
995	1928	1944
996	1930	1941
997	1932	1940
998	1934	1938
999	1936	1936
1000	1938	1934
1001	1941	1933
1002	1943	1932
1003	1945	1930
1004	1947	1928
1005	1949	1926
1006	1952	1925
1007	1955	1924
1008	1956	1921
1009	1958	1920
1010	1960	1918
1011	1962	1916
1012	1964	1913
1013	1966	1912
1014	1967	1909
1015	1970	1908
1016	1971	1906
1017	1973	1903
1018	1975	1901
1019	1977	1899
1020	1979	1898
1021	1981	1896
1022	1983	1894
1023	1986	1892
1024	1987	1890
1025	1989	1888
1026	1991	1887
1027	1993	1884
1028	1994	1882
1029	1996	1880
1030	1999	1879
1031	2001	1877
1032	2003	1875
1033	2004	1872
1034	2006	1871
1035	2009	1869
1036	2011	1867
1037	2013	1865
1038	2014	1863
1039	2016	1861
1040	2019	1860
1041	2022	1859
1042	2024	1857
1043	2026	1855
1044	2028	1853
1045	2030	1851
1046	2032	1849
