listing_id,url,property_type,area_units,area_m2,land_area,rooms,floor,total_floors,has_repair,has_kupca,has_mortgage,photo_count,city,location_level_2,location_level_3,floor_ratio,is_first_floor,is_top_floor,area_per_room,description_has_parking,description_has_furnished,price_azn
6366345,https://bina.az/items/6366345,ofisler,m²,400.0,,8.0,,,True,False,False,20,Bakı,xetai,ag-sheher,,,,50.0,False,,2000
6366344,https://bina.az/items/6366344,menziller/yeni-tikili,m²,85.0,,2.0,8.0,15.0,True,False,False,14,Bakı,neriman-nerimanov,,0.5333333333333333,False,False,42.5,False,True,888
6366346,https://bina.az/items/6366346,menziller/yeni-tikili,m²,130.0,,3.0,19.0,19.0,True,False,False,9,Bakı,8-noyabr,,1.0,False,True,43.333333333333336,False,True,800
6366348,https://bina.az/items/6366348,menziller/yeni-tikili,m²,85.0,,2.0,8.0,15.0,True,False,False,14,Bakı,neriman-nerimanov,,0.5333333333333333,False,False,42.5,False,,900
6366343,https://bina.az/items/6366343,menziller/yeni-tikili,m²,60.0,,2.0,3.0,16.0,True,False,False,19,Bakı,elmler-akademiyasi,,0.1875,False,False,30.0,False,,1300
6366351,https://bina.az/items/6366351,menziller/yeni-tikili,m²,200.0,,4.0,8.0,18.0,True,False,False,30,Bakı,28-may,,0.4444444444444444,False,False,50.0,False,,1200
6366287,https://bina.az/items/6366287,menziller/yeni-tikili,m²,100.0,,2.0,9.0,16.0,True,False,False,7,Bakı,nerimanov,,0.5625,False,False,50.0,False,,60
6366355,https://bina.az/items/6366355,menziller/kohne-tikili,m²,65.0,,3.0,4.0,4.0,True,False,False,9,Bakı,genclik,,1.0,False,True,21.666666666666668,False,,600
6366356,https://bina.az/items/6366356,ofisler,m²,13.0,,1.0,,,True,False,False,4,Bakı,sahil,,,,,13.0,False,True,650
6366358,https://bina.az/items/6366358,menziller/kohne-tikili,m²,55.0,,2.0,5.0,5.0,True,False,False,6,Bakı,bineqedi,,1.0,False,True,27.5,False,,500
